Ward,Purnima Nath ,"Theodore A. Lipscomb, Sr.",Chris Larson,David Crowley,WRITE-IN ,OVER VOTES,UNDER VOTES
1,16,47,54,118,1,0,10
2,2,4,11,16,0,0,1
3,26,67,78,102,0,0,42
4,33,80,120,214,1,0,33
5,12,46,46,106,0,0,3
6,22,92,134,218,0,0,22
7,8,21,31,44,1,0,3
8,33,101,118,203,6,0,13
9,15,21,47,120,1,0,7
10,36,71,98,149,2,0,13
11,20,60,65,118,1,0,15
12,13,14,46,83,0,0,9
13,8,25,31,58,1,0,4
14,14,67,61,132,0,0,12
15,29,49,70,69,0,0,9
16,19,65,72,188,1,0,12
17,20,32,43,69,0,0,1
18,16,41,58,105,0,0,9
19,14,25,34,45,0,0,8
20,15,66,38,109,2,0,10
21,12,51,27,91,0,0,6
22,12,47,29,61,1,0,14
23,3,13,10,32,0,0,4
24,1,4,8,20,0,0,5
25,10,17,28,78,1,0,5
26,5,22,36,70,0,0,3
27,8,17,37,68,0,0,2
28,3,7,9,16,1,0,1
29,3,6,18,28,0,0,3
30,12,27,38,64,0,0,4
31,2,13,21,53,0,0,2
32,26,55,95,134,1,0,16
33,86,129,201,258,3,0,44
34,27,34,62,98,1,0,18
35,27,27,38,76,0,0,12
36,18,32,47,85,3,0,9
37,4,13,26,51,0,0,6
38,6,8,25,52,0,0,4
39,6,23,39,69,0,0,9
40,3,25,31,77,0,0,2
41,7,26,24,62,0,0,2
42,12,30,45,121,2,0,8
43,3,9,19,27,0,0,0
44,19,35,40,124,2,0,10
45,4,34,47,89,1,0,8
46,9,9,22,48,0,0,7
47,8,15,32,96,0,0,7
48,6,21,24,66,0,0,9
49,5,29,24,71,3,0,7
50,4,22,19,56,0,0,8
51,2,8,23,54,0,0,6
52,5,57,10,67,0,0,9
53,2,24,8,41,0,0,0
54,6,26,19,58,0,0,2
55,21,114,57,121,0,0,14
56,4,53,21,97,2,0,5
57,7,47,34,107,0,0,9
58,8,29,24,82,1,0,11
59,11,77,60,231,0,0,22
60,6,28,23,119,0,0,13
61,4,21,29,123,1,0,13
62,3,22,21,72,2,0,9
63,5,15,23,79,1,1,15
64,4,29,38,191,2,0,5
65,13,35,51,186,0,0,14
66,9,16,11,89,1,0,4
67,6,15,19,67,0,0,7
68,16,32,49,145,0,0,6
69,5,21,37,105,0,0,9
70,9,30,62,197,0,0,3
71,3,15,32,109,0,0,5
72,16,36,50,139,0,0,5
73,10,22,54,167,1,0,7
74,15,31,35,94,0,0,3
75,14,25,43,111,0,0,7
76,12,25,24,103,2,0,5
77,10,16,34,62,0,0,3
78,24,40,42,110,2,0,12
79,31,50,57,115,0,0,18
80,36,72,135,160,0,0,32
81,21,26,57,41,0,0,11
82,34,46,82,83,3,0,24
83,26,43,93,104,1,0,21
84,28,21,56,75,0,0,22
85,46,60,119,77,1,0,20
86,36,41,98,70,0,0,22
87,39,26,62,51,3,0,7
88,27,29,84,94,0,0,13
89,35,29,66,120,1,0,11
90,23,35,58,132,1,0,15
91,16,43,64,181,1,0,11
92,40,47,111,167,2,0,28
93,36,30,112,78,2,0,17
94,7,6,15,48,3,0,7
95,6,13,21,79,1,0,4
96,15,42,76,186,0,0,10
97,15,36,46,165,1,0,23
98,10,25,46,152,0,0,8
99,15,46,47,232,1,0,15
100,6,31,38,127,0,0,7
101,10,28,61,159,1,0,12
102,15,55,56,183,0,0,20
103,20,53,64,211,1,0,9
104,10,29,62,159,1,0,8
105,7,8,21,54,1,0,5
106,4,10,22,37,0,0,2
107,2,22,30,76,0,0,5
108,3,20,26,78,1,0,5
109,1,24,20,95,1,0,6
110,1,15,18,54,1,0,2
111,2,11,10,49,0,0,3
112,6,23,23,85,1,0,8
113,4,14,13,80,1,0,2
114,4,19,27,81,0,0,6
115,3,25,35,121,0,0,8
116,4,16,18,56,1,0,3
117,6,14,15,71,0,0,0
118,6,20,24,94,2,0,6
119,7,22,41,89,0,0,6
120,4,15,23,60,0,0,3
121,2,15,17,91,0,0,7
122,8,24,44,84,0,0,1
123,19,21,101,92,4,0,7
124,15,16,53,49,0,0,6
125,40,57,246,150,2,0,26
126,14,34,247,104,4,0,17
127,35,31,228,111,1,0,19
128,37,32,221,95,2,0,14
129,23,37,203,82,0,0,10
130,50,17,53,35,2,0,12
131,49,68,193,135,0,0,18
132,53,123,343,174,2,0,47
133,14,31,115,64,2,0,11
134,33,30,108,70,2,0,13
135,44,35,160,115,3,0,27
136,34,23,139,72,3,0,15
137,22,24,111,69,1,0,14
138,65,71,390,228,4,0,40
139,39,45,163,149,0,0,17
140,8,8,20,61,0,0,13
141,8,17,46,83,1,0,4
142,10,29,28,96,0,0,13
143,1,12,14,57,0,0,4
144,3,18,20,63,1,0,3
145,1,4,10,26,0,0,2
146,3,9,10,16,0,0,1
147,3,20,30,72,1,0,8
148,9,12,18,88,0,0,2
149,8,16,20,66,1,0,3
150,6,13,25,59,1,0,8
151,5,9,22,36,0,0,1
152,4,6,16,37,0,0,3
153,5,26,38,108,1,0,12
154,2,9,32,80,1,0,2
155,4,6,16,30,0,0,5
156,6,24,22,95,0,0,5
157,12,19,37,60,0,0,10
158,2,8,20,72,0,0,7
159,5,15,21,57,1,0,3
160,4,12,29,74,1,0,4
161,1,9,5,25,0,0,0
162,2,5,16,32,0,0,1
163,3,16,25,71,1,0,4
164,14,27,49,111,2,0,4
165,19,22,53,59,0,0,11
166,4,14,19,34,0,0,5
167,30,42,134,105,2,0,12
168,40,92,289,212,2,0,22
169,7,5,13,33,0,0,6
170,3,16,14,26,0,0,2
171,2,1,4,14,0,0,0
172,2,21,18,81,0,0,9
173,3,25,21,73,0,0,3
174,8,45,36,115,0,0,4
175,12,19,43,104,0,0,22
176,7,23,21,73,0,0,14
177,52,73,239,189,5,0,34
178,54,58,186,134,2,0,20
179,51,47,231,153,4,0,33
180,42,39,158,98,4,0,14
181,53,104,331,145,1,0,49
182,63,52,191,129,2,0,26
183,81,54,242,147,2,0,39
184,66,56,176,132,3,0,25
185,59,57,237,131,8,0,25
186,70,69,209,143,1,0,45
187,16,19,49,55,1,0,12
188,22,15,47,27,1,0,6
189,15,29,41,84,1,0,10
190,50,22,37,69,0,0,19
191,24,7,14,19,0,0,10
192,13,1,13,27,1,0,5
193,4,21,42,62,0,0,4
194,6,16,30,38,0,0,4
195,5,18,18,47,1,0,1
196,8,13,39,43,1,0,7
197,6,8,22,33,0,0,7
198,6,25,42,53,2,1,9
199,11,32,54,97,0,0,24
200,2,14,23,43,0,0,3
201,6,10,21,34,0,0,1
202,28,37,91,94,2,0,15
203,33,49,164,145,3,0,24
204,31,32,141,88,1,0,14
205,31,37,117,72,3,0,19
206,32,36,121,93,2,0,14
207,30,33,72,46,1,0,9
208,45,44,75,55,1,0,13
209,33,33,81,66,2,0,23
210,40,30,47,60,0,0,19
211,31,21,66,48,1,0,14
212,17,27,70,45,0,0,6
213,25,33,89,61,1,0,12
214,17,22,48,44,0,0,8
215,6,10,25,18,0,0,7
216,2,8,20,22,1,0,4
217,11,13,64,28,0,0,5
218,25,22,81,33,0,0,15
219,5,10,61,23,1,0,4
220,12,13,57,30,0,0,1
221,32,43,114,75,1,0,31
222,17,9,36,26,0,0,9
223,16,10,58,29,1,0,7
224,6,5,21,18,0,0,2
225,3,11,23,18,1,0,3
226,5,4,17,10,0,0,4
227,11,29,53,43,1,0,17
228,7,8,15,10,0,0,1
229,3,1,15,7,0,0,0
230,5,13,34,39,1,0,7
231,6,2,11,4,1,0,2
232,3,4,2,8,0,0,2
233,1,1,7,9,0,0,0
234,12,8,33,27,0,0,4
235,66,45,158,109,2,0,20
236,2,1,40,21,1,0,3
237,9,7,40,20,0,0,6
238,11,10,16,7,0,0,3
239,7,12,27,20,0,0,4
240,7,7,43,35,0,0,4
241,52,27,218,94,0,0,19
242,31,25,191,63,1,0,16
243,41,62,330,90,1,0,29
244,43,33,234,77,0,0,21
245,33,30,204,76,2,0,18
246,46,49,375,103,1,0,21
247,27,15,150,64,0,0,16
248,49,42,263,127,2,0,32
249,5,8,29,15,1,0,3
250,2,6,28,15,1,0,3
251,5,5,22,12,0,0,3
252,9,11,23,18,0,0,3
253,2,4,9,6,0,0,3
254,4,2,3,7,1,0,1
255,2,9,10,11,0,0,4
256,4,4,12,8,0,0,2
257,11,19,43,15,2,0,5
258,27,16,75,32,0,0,8
259,12,21,50,18,1,0,3
260,8,16,44,23,0,0,3
261,22,31,62,36,1,0,13
262,47,29,134,67,2,0,21
263,20,25,50,40,0,0,10
264,55,48,129,74,1,1,31
265,16,29,73,41,0,0,13
266,31,29,65,44,0,0,16
267,16,19,71,35,0,0,13
268,56,60,132,77,3,0,19
269,24,54,86,70,0,0,18
270,36,58,78,42,2,0,23
271,43,77,153,98,2,0,40
272,49,53,92,58,0,0,39
273,21,24,46,38,1,0,13
274,18,18,61,36,0,0,14
275,44,43,113,77,3,0,28
276,50,84,175,101,5,0,37
277,57,41,123,83,1,0,22
278,30,42,50,28,0,0,15
279,40,38,104,67,0,0,22
280,50,63,223,135,0,0,47
281,24,31,96,37,1,0,13
282,3,6,20,11,1,0,2
283,12,19,53,34,0,0,2
284,13,17,50,27,2,0,9
285,3,5,12,9,0,0,1
286,11,22,53,18,0,0,5
287,18,10,51,39,2,0,12
288,25,40,119,54,4,0,8
289,22,17,78,36,2,0,18
290,18,10,30,18,0,0,4
291,13,15,42,27,0,0,4
292,21,25,86,41,1,0,19
293,26,30,157,41,1,0,8
294,26,41,128,47,0,0,14
295,31,31,135,46,3,0,18
296,47,45,221,62,1,0,19
297,24,38,244,80,1,0,12
298,18,30,172,74,0,0,14
299,34,31,190,85,1,0,24
300,39,46,382,131,3,0,20
301,58,48,228,82,1,0,21
302,32,28,128,65,0,0,17
303,51,58,224,102,0,0,19
304,28,29,140,36,1,0,11
305,27,47,110,48,0,0,12
306,22,53,101,52,0,0,13
307,32,37,79,45,1,0,16
308,11,23,43,32,2,0,1
309,53,43,135,48,3,0,8
310,12,8,27,8,0,0,4
311,28,24,62,33,2,0,12
312,38,55,129,50,0,0,10
313,72,70,208,92,3,0,27
314,25,23,86,47,1,0,10
315,29,60,164,75,1,0,18
316,21,37,100,28,1,0,9
317,25,36,130,80,1,0,13
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,0,2,2,4,0,0,0
321,3,3,14,8,0,0,0
322,1,1,13,4,0,0,1
323,4,2,18,3,0,0,1
324,2,2,3,4,0,0,0
325,9,10,70,27,0,0,4
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
