ward,tom_barrett,edward_c_mcdonald,write_in
0001,256,107,3
0002,43,21,0
0003,285,99,2
0004,443,160,1
0005,209,92,3
0006,389,171,3
0007,120,76,3
0008,351,149,6
0009,237,75,2
0010,332,161,2
0011,247,89,0
0012,212,75,1
0013,122,52,0
0014,254,64,0
0015,239,132,6
0016,299,131,1
0017,172,81,1
0018,178,92,2
0019,135,56,1
0020,207,91,4
0021,180,76,0
0022,137,61,0
0023,80,29,0
0024,39,13,0
0025,140,48,2
0026,124,51,0
0027,144,46,0
0028,21,11,0
0029,58,20,0
0030,120,46,1
0031,107,35,1
0032,286,133,2
0033,467,299,6
0034,215,114,0
0035,144,90,3
0036,133,35,3
0037,107,46,0
0038,107,35,0
0039,140,59,1
0040,121,39,0
0041,115,50,1
0042,195,79,1
0043,125,23,0
0044,213,60,1
0045,158,54,0
0046,80,36,0
0047,178,50,0
0048,108,39,0
0049,114,38,0
0050,104,33,0
0051,99,32,0
0052,172,51,1
0053,71,36,1
0054,93,27,0
0055,244,102,1
0056,183,57,0
0057,217,59,0
0058,158,45,0
0059,390,112,1
0060,210,69,0
0061,217,52,0
0062,139,40,0
0063,160,37,0
0064,280,89,0
0065,264,74,0
0066,141,36,2
0067,118,30,0
0068,250,94,0
0069,168,44,0
0070,290,83,1
0071,141,52,0
0072,214,73,0
0073,253,97,1
0074,144,48,0
0075,171,80,2
0076,137,67,1
0077,135,65,3
0078,225,82,4
0079,245,90,3
0080,352,146,3
0081,151,92,1
0082,189,108,2
0083,208,132,2
0084,175,77,2
0085,221,124,3
0086,175,106,0
0087,127,56,0
0088,169,81,2
0089,225,110,5
0090,187,85,2
0091,278,99,1
0092,310,132,2
0093,220,94,2
0094,86,32,0
0095,120,37,0
0096,263,67,0
0097,238,92,1
0098,187,54,0
0099,299,108,2
0100,188,77,0
0101,284,87,1
0102,296,89,1
0103,305,102,0
0104,314,97,0
0105,117,24,1
0106,116,24,0
0107,138,41,1
0108,203,52,1
0109,190,49,1
0110,104,26,1
0111,124,34,0
0112,166,58,0
0113,171,29,2
0114,145,44,0
0115,235,60,1
0116,111,26,1
0117,124,32,0
0118,190,47,0
0119,141,64,1
0120,96,50,0
0121,146,49,0
0122,139,52,0
0123,119,37,2
0124,128,30,2
0125,251,122,2
0126,244,90,2
0127,247,71,1
0128,207,59,3
0129,188,49,2
0130,78,20,0
0131,303,107,2
0132,458,143,2
0133,131,34,3
0134,106,32,3
0135,133,55,3
0136,133,34,2
0137,107,45,0
0138,334,115,4
0139,233,94,3
0140,102,36,1
0141,128,53,0
0142,178,50,0
0143,133,53,0
0144,100,51,0
0145,63,24,0
0146,54,20,1
0147,209,63,0
0148,179,53,0
0149,185,65,0
0150,144,44,0
0151,115,25,2
0152,70,24,1
0153,230,88,0
0154,140,32,0
0155,100,26,0
0156,192,56,3
0157,162,37,0
0158,142,39,1
0159,53,21,1
0160,143,38,0
0161,57,13,1
0162,123,44,0
0163,114,43,1
0164,169,58,2
0165,128,45,1
0166,71,26,0
0167,246,72,3
0168,527,118,4
0169,77,31,0
0170,72,24,0
0171,17,9,0
0172,114,27,1
0173,169,62,4
0174,290,80,2
0175,109,32,2
0176,214,30,0
0177,297,118,2
0178,245,79,1
0179,291,94,0
0180,181,71,0
0181,390,99,3
0182,234,82,2
0183,262,102,3
0184,264,131,3
0185,330,127,4
0186,242,128,4
0187,37,15,0
0188,50,15,3
0189,98,50,1
0190,94,54,2
0191,67,36,0
0192,54,22,0
0193,107,54,1
0194,75,26,1
0195,54,21,1
0196,184,77,3
0197,3,1,0
0198,147,41,3
0199,168,45,1
0200,75,41,1
0201,94,30,0
0202,187,62,3
0203,319,96,2
0204,242,71,7
0205,211,102,3
0206,196,82,5
0207,141,95,6
0208,173,100,2
0209,158,139,0
0210,138,99,1
0211,106,94,5
0212,118,89,3
0213,179,90,3
0214,111,35,1
0215,50,25,0
0216,44,19,0
0217,126,34,3
0218,147,51,2
0219,114,26,0
0220,125,49,3
0221,206,84,0
0222,102,21,1
0223,128,43,2
0224,62,31,0
0225,72,38,3
0226,62,18,1
0227,169,48,2
0228,85,23,1
0229,30,14,0
0230,109,33,2
0231,51,16,1
0232,39,10,0
0233,35,10,1
0234,65,6,0
0235,220,63,2
0236,107,30,0
0237,99,17,0
0238,69,25,0
0239,79,22,1
0240,84,25,0
0241,239,71,0
0242,288,75,2
0243,446,164,2
0244,299,88,4
0245,285,96,2
0246,483,135,4
0247,201,71,3
0248,345,108,4
0249,144,53,1
0250,54,22,0
0251,20,14,0
0252,74,36,1
0253,78,24,0
0254,29,12,0
0255,72,24,1
0256,40,13,1
0257,134,53,3
0258,167,68,1
0259,95,47,0
0260,62,40,0
0261,105,59,0
0262,205,128,1
0263,137,94,1
0264,225,140,5
0265,146,74,2
0266,143,97,1
0267,129,74,3
0268,301,164,5
0269,215,122,3
0270,238,155,6
0271,352,243,10
0272,229,158,4
0273,135,97,3
0274,109,96,1
0275,220,159,10
0276,305,213,15
0277,272,169,2
0278,133,97,4
0279,239,177,7
0280,340,182,7
0281,140,97,6
0282,51,25,0
0283,118,77,0
0284,128,57,0
0285,15,11,1
0286,119,36,1
0287,81,63,1
0288,205,97,5
0289,156,68,5
0290,64,36,1
0291,84,42,3
0292,155,76,2
0293,189,118,4
0294,196,94,1
0295,185,81,1
0296,307,126,3
0297,275,93,4
0298,193,86,1
0299,232,104,3
0300,403,135,4
0301,303,150,3
0302,190,97,3
0303,287,174,4
0304,158,119,6
0305,162,124,4
0306,179,71,1
0307,156,108,2
0308,75,45,1
0309,216,145,3
0310,39,30,0
0311,120,80,2
0312,208,150,4
0313,352,257,9
0314,140,114,2
0315,283,197,1
0316,146,93,5
0317,201,127,3
0318,0,0,0
0319,0,0,0
