Ward,Hillary Clinton,Martin O'Malley,Bernie Sanders,Uninstructed Delegation,WRITE-IN
1,322,0,188,2,1
2,122,0,55,0,0
3,329,1,129,3,0
4,594,2,276,0,0
5,272,0,120,0,0
6,476,1,345,0,1
7,138,2,107,0,0
8,445,1,226,1,1
9,279,2,117,1,0
10,331,2,183,0,0
11,347,1,172,1,1
12,282,3,148,0,1
13,156,0,101,0,0
14,389,2,171,1,0
15,210,0,128,1,0
16,503,1,244,1,0
17,203,0,110,0,1
18,265,0,177,0,0
19,232,0,124,0,0
20,329,1,163,2,0
21,311,0,163,1,0
22,229,1,133,0,0
23,101,0,46,1,0
24,112,2,55,0,0
25,224,0,135,0,0
26,249,1,90,0,0
27,222,1,108,0,1
28,56,0,24,0,0
29,117,0,67,1,0
30,229,1,133,0,1
31,175,1,111,0,0
32,431,1,273,0,0
33,552,0,333,2,0
34,238,1,222,1,0
35,173,1,153,2,0
36,227,1,174,0,0
37,213,1,112,0,0
38,196,0,98,1,0
39,219,1,149,1,0
40,239,0,116,0,0
41,211,1,132,0,0
42,301,5,178,0,0
43,234,0,94,1,0
44,335,1,162,0,1
45,367,0,142,0,0
46,149,0,93,0,0
47,350,1,182,0,1
48,147,1,72,0,0
49,238,0,96,0,2
50,209,1,94,0,0
51,205,0,89,0,0
52,303,0,134,0,0
53,105,0,45,0,0
54,220,0,82,0,0
55,365,0,193,0,0
56,318,0,131,0,0
57,378,1,123,0,0
58,257,0,74,0,1
59,635,0,241,1,0
60,389,1,153,1,0
61,338,0,122,1,0
62,242,1,88,0,0
63,232,0,91,1,2
64,541,0,240,3,1
65,458,2,204,1,0
66,265,0,131,0,1
67,233,0,107,0,0
68,391,0,180,0,0
69,319,1,116,0,0
70,455,1,203,2,0
71,264,0,117,0,0
72,344,0,173,0,0
73,401,0,189,1,1
74,260,0,119,0,1
75,192,0,131,0,0
76,264,0,141,0,0
77,190,0,107,1,2
78,374,0,190,0,1
79,307,1,215,0,0
80,364,5,242,2,1
81,95,1,112,2,0
82,113,2,175,0,1
83,175,0,196,1,0
84,118,1,168,1,0
85,170,0,235,1,0
86,161,0,209,0,0
87,108,0,145,0,0
88,128,1,176,0,0
89,205,0,234,1,0
90,224,1,221,0,1
91,468,1,239,1,0
92,318,0,315,0,0
93,131,0,148,0,0
94,169,0,49,0,0
95,203,0,89,2,0
96,334,0,212,1,0
97,300,1,151,0,2
98,299,0,109,0,0
99,430,0,227,0,1
100,330,1,137,0,0
101,468,0,175,2,0
102,495,0,183,1,0
103,517,0,240,0,0
104,493,1,153,0,0
105,208,0,76,0,0
106,203,0,44,0,0
107,288,1,94,0,0
108,362,1,85,1,0
109,317,0,104,1,1
110,180,2,47,0,0
111,211,1,76,0,0
112,286,0,88,0,0
113,269,0,80,0,0
114,248,0,82,0,0
115,403,0,143,0,0
116,181,0,64,0,1
117,238,1,69,0,0
118,268,0,110,2,1
119,284,0,100,0,0
120,254,0,87,0,0
121,265,0,116,1,0
122,277,1,119,0,0
123,216,0,373,0,0
124,129,0,183,0,1
125,218,0,645,2,0
126,264,1,340,1,0
127,196,1,546,1,0
128,146,1,694,0,1
129,192,1,329,0,0
130,81,0,609,0,1
131,279,1,309,0,0
132,471,3,387,1,0
133,121,0,429,1,1
134,110,1,412,0,0
135,147,0,465,0,0
136,111,0,556,0,0
137,66,0,395,0,0
138,265,0,1296,1,0
139,276,1,640,2,0
140,179,0,98,0,0
141,223,0,134,0,1
142,270,0,102,0,0
143,218,0,90,0,0
144,185,0,65,0,0
145,112,0,42,0,0
146,106,1,31,0,0
147,327,2,122,0,0
148,260,1,120,1,0
149,282,2,127,1,1
150,207,0,112,1,0
151,201,0,69,1,0
152,132,0,58,0,0
153,268,0,132,1,0
154,212,0,79,0,1
155,139,0,69,0,0
156,250,0,132,0,0
157,157,1,139,0,0
158,174,2,114,0,0
159,156,0,109,0,0
160,231,0,91,1,0
161,63,0,44,0,0
162,114,1,76,0,0
163,212,0,151,1,0
164,265,2,192,0,0
165,173,0,165,0,1
166,72,0,100,0,0
167,199,0,277,1,0
168,345,1,503,2,2
169,148,0,92,1,0
170,107,1,68,0,0
171,36,0,43,0,0
172,186,0,77,0,0
173,228,0,118,0,2
174,364,3,134,1,0
175,227,1,133,0,0
176,308,0,139,0,0
177,344,0,551,1,1
178,272,0,468,0,3
179,314,0,592,0,0
180,219,2,317,0,1
181,421,0,333,3,0
182,225,3,537,1,0
183,295,1,555,1,0
184,313,1,390,1,0
185,315,0,502,2,1
186,313,1,341,0,0
187,71,0,129,0,0
188,65,0,89,1,0
189,210,0,92,0,0
190,107,1,280,1,0
191,59,0,196,0,0
192,90,0,171,0,0
193,145,1,136,0,0
194,129,0,164,0,0
195,125,1,101,0,1
196,192,0,182,0,0
197,133,0,58,0,0
198,219,3,142,0,1
199,241,0,119,0,0
200,119,0,104,0,0
201,138,0,70,0,1
202,185,0,222,1,0
203,208,1,343,3,1
204,153,1,299,0,0
205,147,1,265,0,0
206,161,0,169,0,0
207,119,2,201,0,0
208,134,0,209,0,0
209,114,1,169,0,0
210,103,0,131,1,0
211,97,0,165,0,0
212,134,1,193,0,1
213,151,4,205,1,0
214,87,0,92,0,1
215,70,0,92,0,0
216,64,0,86,0,0
217,119,1,162,0,0
218,154,0,202,0,0
219,102,0,142,0,0
220,126,0,155,0,0
221,258,1,221,1,0
222,125,0,119,0,0
223,129,0,164,1,0
224,96,0,125,0,1
225,100,0,91,0,0
226,55,0,63,0,0
227,226,0,136,0,0
228,78,1,92,0,0
229,67,0,78,0,0
230,168,0,129,0,0
231,66,0,54,0,0
232,42,0,51,0,0
233,45,0,34,0,0
234,66,0,95,0,0
235,227,2,397,0,0
236,134,0,79,0,0
237,147,2,145,0,0
238,97,0,119,0,0
239,92,1,87,0,0
240,117,0,130,0,0
241,138,1,411,1,1
242,129,1,406,0,0
243,250,0,342,2,0
244,181,0,313,1,1
245,151,0,260,0,1
246,261,1,525,0,1
247,107,1,259,0,1
248,204,0,584,0,0
249,70,0,102,0,0
250,62,0,75,0,0
251,40,0,53,0,0
252,73,0,123,0,0
253,55,0,46,1,0
254,37,0,47,0,0
255,76,0,54,0,0
256,71,0,48,0,0
257,138,0,145,0,0
258,143,0,197,0,0
259,83,0,134,0,0
260,81,1,82,0,0
261,88,0,128,0,0
262,198,1,235,0,0
263,103,0,115,0,0
264,209,2,267,0,0
265,122,0,128,0,0
266,105,0,111,0,0
267,115,0,113,1,0
268,225,1,244,0,0
269,184,1,117,0,2
270,144,1,136,0,0
271,264,0,226,0,0
272,164,0,181,0,0
273,103,0,89,0,0
274,90,0,89,0,0
275,209,0,262,1,0
276,217,1,243,0,0
277,228,0,232,0,0
278,117,0,141,0,0
279,175,3,180,1,0
280,317,1,365,0,0
281,143,1,187,0,1
282,77,0,52,0,1
283,141,0,131,1,0
284,181,1,159,0,0
285,39,1,38,0,0
286,105,0,87,0,0
287,88,1,119,1,0
288,209,0,270,0,1
289,95,0,169,1,0
290,86,0,139,1,0
291,88,1,127,1,0
292,109,0,174,1,0
293,147,0,198,2,0
294,105,0,193,0,0
295,135,0,232,0,0
296,167,1,316,0,0
297,194,0,313,0,0
298,115,0,303,0,0
299,176,1,285,1,0
300,304,0,448,0,1
301,200,2,307,1,0
302,113,0,177,0,0
303,179,0,304,2,0
304,165,0,197,1,0
305,161,0,172,0,2
306,165,3,149,0,0
307,145,0,191,1,0
308,148,1,127,3,0
309,227,1,193,0,0
310,60,0,64,0,0
311,105,1,109,0,0
312,150,1,161,1,0
313,302,3,311,1,0
314,125,0,115,0,0
315,223,0,221,0,1
316,121,0,132,0,0
317,158,1,202,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,9,0,8,0,0
321,41,1,54,0,0
322,29,1,32,0,0
323,56,0,45,0,0
324,20,0,21,0,0
325,40,1,165,0,0
326,0,0,1,0,0
327,0,0,0,0,0
