Ward,Donald J. Trump ,Uninstructed Delegation,Write In ,Over Votes,Under Votes
1,53,0,0,0,1
2,6,1,1,0,0
3,65,3,1,0,3
4,51,3,2,0,1
5,38,0,0,0,3
6,103,1,1,0,6
7,35,0,0,0,0
8,104,4,0,0,1
9,39,0,0,0,0
10,109,1,0,0,1
11,48,2,1,0,1
12,29,0,0,0,1
13,31,1,0,0,0
14,17,0,0,0,0
15,66,3,0,0,2
16,41,1,0,0,1
17,24,0,0,0,0
18,35,3,0,0,3
19,27,0,0,0,0
20,28,0,0,0,0
21,14,2,0,0,1
22,21,1,0,0,0
23,12,0,0,0,0
24,0,0,0,0,0
25,14,0,0,0,0
26,19,1,0,0,2
27,14,0,0,0,1
28,4,1,0,0,0
29,5,0,0,0,1
30,27,1,0,0,2
31,15,2,0,0,0
32,64,1,0,0,2
33,219,4,0,0,9
34,76,2,2,0,0
35,103,2,1,0,0
36,26,1,0,0,1
37,13,0,0,0,3
38,13,1,0,0,0
39,47,1,0,0,0
40,6,0,0,0,0
41,10,0,0,0,0
42,26,1,0,0,0
43,2,0,0,0,0
44,20,1,0,0,1
45,18,1,0,0,1
46,8,0,0,0,0
47,10,1,0,0,0
48,11,1,0,0,2
49,5,0,0,0,0
50,7,0,0,0,1
51,2,0,0,0,0
52,11,1,0,0,2
53,3,0,0,0,0
54,1,0,0,0,0
55,55,1,0,0,0
56,7,0,0,0,0
57,3,1,0,0,0
58,4,0,0,0,1
59,8,1,0,0,0
60,4,2,0,0,0
61,4,0,0,0,0
62,4,0,0,0,0
63,4,0,0,0,0
64,14,0,0,0,2
65,14,0,1,0,2
66,4,1,1,0,0
67,4,0,0,0,0
68,20,0,0,0,0
69,4,0,0,0,0
70,22,2,0,0,0
71,13,0,0,0,1
72,19,0,0,0,0
73,19,0,0,0,2
74,19,2,0,0,0
75,52,0,2,0,2
76,20,1,0,0,0
77,32,0,0,0,1
78,49,3,0,0,0
79,57,2,1,0,1
80,130,6,1,0,2
81,63,2,0,0,2
82,131,1,2,0,2
83,92,2,0,0,5
84,82,0,0,0,1
85,88,1,0,0,1
86,90,1,3,0,1
87,50,0,0,0,0
88,61,2,1,0,1
89,70,1,1,0,0
90,69,5,0,0,2
91,45,0,0,0,0
92,92,1,0,0,2
93,87,3,0,0,4
94,11,0,0,0,0
95,8,1,0,0,0
96,38,0,0,0,0
97,42,2,0,0,2
98,6,0,0,0,0
99,34,1,0,0,2
100,6,1,0,0,2
101,6,0,0,0,2
102,16,1,0,0,2
103,23,1,0,0,1
104,6,0,0,1,0
105,2,1,0,0,0
106,1,1,0,0,0
107,2,2,0,0,0
108,4,0,0,0,0
109,3,1,0,0,0
110,0,0,0,0,0
111,1,0,0,0,0
112,2,0,0,0,1
113,1,1,1,0,0
114,0,0,0,0,0
115,1,0,0,0,0
116,1,1,0,0,0
117,1,0,0,0,0
118,3,0,0,0,0
119,2,1,0,0,0
120,0,0,0,0,0
121,2,1,0,0,0
122,1,0,0,0,1
123,12,0,0,0,1
124,7,1,0,0,1
125,31,4,0,0,1
126,17,1,0,0,1
127,42,3,0,0,1
128,19,1,0,0,1
129,37,0,2,0,0
130,7,0,0,0,0
131,56,3,0,0,1
132,133,4,1,0,12
133,12,2,0,0,0
134,33,1,0,0,0
135,34,1,2,0,1
136,18,0,0,0,2
137,14,1,0,0,0
138,23,1,0,0,1
139,23,0,0,0,0
140,2,0,0,0,0
141,10,0,0,0,0
142,0,0,0,0,0
143,2,0,0,0,0
144,2,0,0,0,0
145,1,0,0,0,0
146,1,0,0,0,0
147,2,0,0,0,0
148,1,0,0,0,0
149,4,0,0,0,0
150,8,2,0,0,1
151,1,1,0,0,0
152,1,1,3,0,0
153,7,1,1,0,0
154,6,1,0,0,1
155,2,0,0,0,0
156,16,0,0,0,1
157,7,2,0,0,1
158,4,0,0,0,0
159,5,1,1,0,3
160,4,2,0,0,0
161,2,0,0,0,0
162,0,0,0,0,0
163,5,0,0,0,0
164,21,1,0,0,0
165,41,3,0,0,0
166,17,1,0,0,0
167,44,2,0,0,1
168,85,1,0,0,5
169,0,0,0,0,0
170,0,1,0,0,0
171,2,0,0,0,0
172,3,0,0,0,0
173,5,0,0,0,0
174,5,0,0,0,1
175,9,0,0,0,1
176,3,1,0,0,0
177,80,2,0,0,1
178,57,0,0,0,1
179,42,3,0,0,1
180,40,4,0,0,1
181,94,8,0,1,6
182,57,4,3,0,3
183,84,3,2,0,2
184,80,6,1,0,3
185,100,6,1,0,4
186,171,6,3,0,5
187,28,4,1,0,1
188,24,1,0,0,0
189,23,1,0,0,0
190,22,1,1,0,0
191,2,0,0,0,0
192,6,0,0,0,0
193,8,0,1,0,1
194,3,0,0,0,0
195,5,0,0,0,1
196,10,0,0,0,0
197,4,0,0,0,0
198,21,1,0,0,1
199,7,3,1,0,0
200,9,0,0,0,0
201,3,1,0,0,1
202,36,1,1,0,0
203,60,6,1,0,1
204,57,3,1,0,3
205,50,2,2,0,1
206,59,3,1,0,1
207,86,3,0,0,1
208,92,3,1,0,5
209,78,2,0,0,0
210,71,0,0,0,2
211,71,2,0,0,2
212,85,1,0,0,3
213,64,0,0,0,1
214,29,1,0,0,0
215,11,0,0,0,0
216,14,2,0,0,0
217,31,1,2,0,0
218,44,0,0,0,0
219,21,2,0,0,1
220,29,2,0,0,2
221,63,2,0,0,0
222,12,1,1,0,0
223,27,0,0,0,3
224,10,1,0,0,5
225,11,0,0,0,0
226,5,0,0,0,0
227,14,1,0,0,0
228,10,0,0,0,0
229,3,0,0,0,0
230,10,2,2,0,1
231,12,0,1,0,1
232,3,1,0,0,0
233,3,0,1,0,0
234,9,0,0,0,0
235,72,4,2,0,4
236,11,1,0,0,0
237,6,0,0,0,0
238,13,0,0,0,0
239,12,0,0,0,2
240,21,0,0,0,0
241,48,4,0,0,1
242,50,3,0,0,4
243,79,1,1,0,5
244,44,0,1,0,2
245,56,4,0,0,0
246,77,3,0,0,4
247,48,2,1,0,3
248,68,1,2,0,1
249,22,1,0,0,1
250,8,1,0,0,1
251,14,0,1,0,0
252,23,1,0,0,0
253,10,0,0,0,0
254,16,1,0,0,0
255,7,2,0,0,0
256,8,0,0,0,0
257,21,1,0,0,0
258,55,0,1,0,1
259,28,2,0,0,1
260,34,0,0,0,2
261,62,0,0,0,3
262,123,0,0,0,4
263,51,3,0,0,3
264,156,6,1,0,1
265,74,3,0,0,2
266,116,1,1,0,4
267,70,2,0,0,2
268,204,2,0,0,5
269,113,3,1,0,4
270,129,0,2,0,5
271,221,6,1,0,9
272,198,0,0,0,5
273,88,1,0,0,4
274,97,2,1,0,3
275,176,4,2,0,7
276,210,4,0,0,3
277,186,2,0,0,7
278,82,2,0,0,4
279,120,3,0,0,1
280,173,1,2,0,11
281,83,1,0,0,2
282,16,1,0,0,0
283,63,2,0,0,3
284,31,1,0,0,2
285,18,1,0,0,1
286,34,1,0,0,0
287,46,1,0,0,2
288,100,2,1,0,4
289,49,0,0,0,5
290,32,0,1,0,1
291,37,1,0,0,2
292,51,1,0,0,0
293,82,0,1,0,1
294,70,1,0,0,1
295,73,2,0,0,1
296,100,3,0,0,2
297,70,3,0,0,2
298,49,1,1,0,1
299,106,1,0,0,4
300,85,0,0,0,4
301,106,4,1,0,0
302,97,2,1,0,2
303,143,6,1,0,8
304,105,2,0,0,3
305,92,1,1,0,1
306,78,2,2,0,1
307,97,1,0,0,2
308,56,0,0,0,0
309,154,0,0,0,3
310,27,1,0,0,0
311,68,1,0,0,3
312,155,3,0,0,2
313,250,6,0,0,5
314,122,2,0,0,3
315,179,1,0,0,8
316,93,3,0,0,7
317,100,1,2,0,1
318,0,0,0,0,0
319,0,0,0,0,0
320,1,0,0,0,0
321,6,0,0,0,0
322,5,0,0,0,0
323,7,0,0,0,1
324,6,0,0,0,0
325,18,0,0,0,1
326,0,0,0,0,0
327,0,0,0,0,0
